block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_1284,13,Laurelwood,s_merged_999107,1301,420602_merged_1005709
a_802,8,University via Weber,a_merged_999103,808,426419_merged_1004396
a_1132,11,Country Hills,a_merged_999103,1101,417822_merged_1003114
a_331,4,Downtown from TBW,muwtf_merged_999106,402,416841_merged_1001964
b_5632,64,Cambridge Centre,a_merged_999110,6411,418975_merged_1007072
b_2032,6,Downtown,a_merged_999110,601,417503_merged_1008799
b_5251,9856,Cherry Blossom Industrial,muwtf_merged_999113,985600,413968_merged_1012286
a_5202,52,Ainslie St. Terminal,a_merged_999103,5211,418700_merged_1000579
b_803,8,University via Franklin & Westmount,muwtf_merged_999113,803,426859_merged_1008292
b_2402,24,Highland,muwtf_merged_999113,2401,413454_merged_1011114
a_8001,200,iXpress to Conestoga Mall,muwtf_merged_999106,20001,415869_merged_1002617
b_5633,56,Cambridge Centre,a_merged_999110,5611,418880_merged_1006892
b_937,13,Laurelwood,muwtf_merged_999113,1301,416270_merged_1008821
a_1001,10,Conestoga College via Bechtel,a_merged_999103,1002,418183_merged_1005311
a_801,8,Fairview via Weber & Courtland TA,a_merged_999103,824,426236_merged_1002948
a_934,5,Erb West,a_merged_999103,501,419306_merged_1000762
a_702,7,B Fairview Park via Weber,muwtf_merged_999106,713,414494_merged_1000796
b_5531,59,Christopher,a_merged_999110,5900,419570_merged_1009332
b_932,29,Keats Way to UW,muwtf_merged_999113,2911,421112_merged_1008465
b_9919,9919,FVM to SMH Express 1,muwtf_merged_999113,991901,416657_merged_1008480
a_936,32,Conestoga Mall,muwtf_merged_999106,3211,415696_merged_1004149
b_1383,9,Lakeshore to Conestoga Mall,muwtf_merged_999113,911,416392_merged_1008202
a_2031,11,Downtown,muwtf_merged_999106,1111,414625_merged_999917
a_805,8,Fairview via Weber & Courtland TA,a_merged_999103,824,426237_merged_1002947
b_5531,59,Christopher,a_merged_999110,5900,419569_merged_1005958
a_5531,59,Christopher,muwtf_merged_999106,5900,413612_merged_1000231
b_8021,200,iXpress to Ainslie Terminal,a_merged_999110,20011,419617_merged_1011914
a_709,7,E UW via Columbia,a_merged_999103,706,418343_merged_1001229
a_2031,3,Ottawa South to Downtown,a_merged_999103,301,417583_merged_1001042
b_2534,25,Queen South,muwtf_merged_999113,2501,415213_merged_1009409
a_7551,75,Saginaw,muwtf_merged_999106,7500,420853_merged_1003086
b_802,8,Fairview via Courtland TR,s_merged_999114,811,425701_merged_1007465
a_703,7,B Fairview Park via Weber,muwtf_merged_999106,713,414474_merged_1005788
b_1231,9,Lakeshore to Conestoga Mall,s_merged_999114,911,420640_merged_1007250
b_802,8,Fairview via Weber & Courtland TR,s_merged_999114,823,425746_merged_1006983
b_5232,52,Fairview Park,s_merged_999114,5201,420502_merged_1006628
b_701,7,B Fairview Park via Weber,s_merged_999114,713,420393_merged_1007280
b_2032,20,Victoria Hills to Highland Hills Mall,muwtf_merged_999113,2001,414922_merged_1006363
b_2234,22,Laurentian West to Highland Hills,muwtf_merged_999113,2202,416690_merged_1007125
a_2231,22,Laurentian West to Forest Glen,muwtf_merged_999106,2211,416730_merged_1000153
b_704,7,D UW via University,s_merged_999114,702,420265_merged_1007981
b_1135,11,Country Hills,muwtf_merged_999113,1101,414595_merged_1006194
a_2582,9964,RCSS-Driftwood,muwtf_merged_999106,996401,414022_merged_1005618
b_7551,75,Saginaw,muwtf_merged_999113,7500,420848_merged_1009932
b_714,7,A Fairview Park via Connaught,muwtf_merged_999113,715,414533_merged_1012257
b_231,18,Downtown,muwtf_merged_999113,1801,414886_merged_1006602
b_302,11,Downtown,a_merged_999110,1111,417858_merged_1006820
a_2532,25,Queen South to Downtown,a_merged_999103,2511,418081_merged_1000106
b_932,5,Uptown,a_merged_999110,511,419333_merged_1006051
a_5203,52,Ainslie St. Terminal,a_merged_999103,5211,418692_merged_1000318
a_5331,66,Winston,a_merged_999103,6600,419048_merged_1001871
a_808,8,University via Weber,muwtf_merged_999106,808,426841_merged_1004746
b_431,22,Laurentian West to Downtown,a_merged_999110,2212,418144_merged_1010701
b_3131,31,University of Waterloo,muwtf_merged_999113,3111,416129_merged_1006561
a_8001,200,iXpress to Conestoga Mall,a_merged_999103,20001,419611_merged_1005131
b_1032,10,Conestoga College,muwtf_merged_999113,1001,415771_merged_1011541
a_631,20,Victoria Hills to Downtown,a_merged_999103,2011,417903_merged_1004381
b_2031,11,Downtown,muwtf_merged_999113,1111,414643_merged_1012656
a_2031,6,Downtown,a_merged_999103,601,417511_merged_1005246
b_5332,53,Ainslie St. Terminal,muwtf_merged_999113,5311,413753_merged_1006728
