stop_lat,stop_lon,stop_id,stop_name
43.391123,-80.30861,1379,Elgin / Bushnell
43.39139,-80.302953,1378,Elgin / Franklin
43.500373,-80.500822,2032,Meadowvale / Lexington
43.5102,-80.5495,3834,Farmers Market / Walmart
43.3915,-80.3441,3835,Bishop / Pineview
43.5159,-80.5573,3836,King / Lobsinger
43.554798,-80.555367,3837,Arthur / Gerrat
43.5377,-80.5539,3830,King / Cedar
43.5319,-80.5549,3831,King / Henry
43.5284,-80.5554,3832,King / Printery
43.5099,-80.5558,3833,Farmers Market / Benjamin
43.498052,-80.499417,2030,Dansbury / Canterbury
43.5671,-80.5613,3838,Arthur / Scotch Line
43.5671,-80.5615,3839,Arthur / Scotch Line
43.429097,-80.289172,1245,Ellis / Kerwood
43.430943,-80.293117,1244,Kerwood / Gees
43.447772,-80.559623,1987,Westvale / Foxhill
43.416413,-80.386348,2309,Cherry Blossom / Maple Grove
43.387473,-80.411953,2308,Homer Watson
43.35629,-80.300775,2301,Main / Lowrey
43.356033,-80.298927,2300,Chalmers / Main
43.356812,-80.30622,2303,Main / Arthur White
43.356538,-80.303102,2302,Main / Cathay
43.357148,-80.307967,2304,Main / Spruce
43.428063,-80.295037,1246,Ellis / Cooper
43.49,-80.5169,3748,Lexington / Dearborn Blvd
43.498,-80.505,3749,Lexington / Bridge
43.3937,-80.4367,3746,Pioneer / Bechtel
43.4843,-80.5197,3747,Columbia / Marsland
43.4571,-80.495,3744,Wellington / Weber
43.4914,-80.578,3745,Conservation / Waterton
43.4611,-80.5219,3743,William / Caroline
43.3867,-80.475,3740,Huron / Cranshaw
43.3889,-80.4718,3741,Huron / Newcastle
43.445138,-80.529582,3253,Westwood / Westwood Cres.
43.347993,-80.304617,2275,Glenview / Mcdonald
43.347808,-80.306497,2274,Mckay / Glenview
43.346242,-80.299985,2277,Champlain / Christopher
43.346405,-80.303265,2276,Mcdonald / Dorset
43.350275,-80.302827,2271,Ballantyne / East
43.352072,-80.301957,2270,Christopher / South
43.349588,-80.306918,2273,Ballantyne / Mckay
43.349923,-80.304908,2272,Ballantyne / Mcdonald
43.341327,-80.300928,2279,Christopher / Myers
43.343818,-80.300958,2278,Christopher / Tutton
43.469538,-80.447385,2337,1373 Victoria St.
43.453283,-80.490448,2459,Weber / Young
43.45116,-80.4929,2458,King / Gaukel
43.453817,-80.50143,2455,King / Breithaupt
43.454508,-80.502919,2454,Wellington / King
43.451736,-80.494754,2457,King / Water
43.452887,-80.498582,2456,King / Victoria
43.456577,-80.496683,2451,Wellington / Duke
43.4578,-80.49296,2450,Wellington / Ahrens
43.455098,-80.501085,2453,Wellington / Moore
43.455805,-80.498992,2452,Wellington / Waterloo
43.498617,-80.53218,2051,Conestogo / King
43.498554,-80.532046,2050,Conestogo / King
43.496668,-80.535205,2053,530 Conestogo Rd.
43.495837,-80.532947,2052,Conestogo / Bauer
43.499713,-80.537278,2055,Conestogo / Northfield
43.498572,-80.536503,2054,Conestogo / Durward
43.4509,-80.5721,3690,Erbsville / Royal Beech
43.4533,-80.5719,3691,Path To Erbsville
43.4558,-80.5732,3692,Keats / Keatswood
43.4565,-80.5711,3693,Keats / Beechwood
43.4575,-80.5682,3694,Keats / Leighland
43.4567,-80.5649,3695,Keats Way / Brynhurst
43.4907,-80.5813,3697,Lake Louise / Kelso
43.357147,-80.293797,1506,Main / Alexander
43.356593,-80.296798,1507,Main / Elgin
43.39945,-80.354483,3526,Westminster / Laurel
43.379983,-80.319342,3527,Hespeler / Abbotsford
43.386152,-80.389268,3524,Fountain / Blair
43.385395,-80.39139,3525,Fountain / Blair
43.400862,-80.354707,3522,Laurel / North
43.393222,-80.367597,3520,Dover / Rose
43.390792,-80.363468,3521,Rose / Westminster
43.355848,-80.301208,1508,Concession / Scrimger
43.384015,-80.303455,1364,Glamis / The Greenway
43.355378,-80.304092,1509,Concession / Peck
43.370457,-80.313927,1601,Dundas / Hopeton
43.440148,-80.508363,2699,Belmont / Burn
43.372232,-80.316883,1600,Dundas / Haddington
43.442205,-80.51075,2697,Belmont / Edgewood
43.443235,-80.512007,2696,Belmont / Victoria
43.445037,-80.512965,2695,Belmont / Karn
43.447603,-80.514288,2694,Belmont / Gage
43.449407,-80.515485,2693,551  Belmont Ave.
43.3659,-80.3063,1603,Dundas / Beverly
43.451697,-80.516993,2691,Belmont / Glasgow
43.453123,-80.517838,2690,Belmont / Claremont
43.3674,-80.3089,1602,Dundas / Cambridge
43.359238,-80.31141,1605,Wellington / Main
43.363,-80.3089,1604,Beverly / Kerr
43.364605,-80.307198,1607,Beverly / Mill Creek Trail
43.36199,-80.309622,1606,Beverly / Kerr
43.38111,-80.307262,1362,Elgin / Glamis
43.457597,-80.502798,3232,Moore / Briar
43.45894,-80.504977,3233,Moore / Guelph
43.45484,-80.501108,3230,Moore / Wellington
43.45653,-80.502163,3231,Moore / Shanley
43.456514,-80.542359,1968,Erb / Mulberry
43.455717,-80.544418,1969,Erb / Amos
43.38386,-80.335978,1618,Coronation / Blue Heron
43.385793,-80.338892,1619,Coronation / Oriole
43.381342,-80.331768,1616,697 Coronation
43.382493,-80.333703,1617,Coronation / Highland
43.378152,-80.326393,1614,Coronation / Oliver
43.458883,-80.515292,3239,Union / King
43.463747,-80.524582,1960,Caroline / Erb
43.46414,-80.525997,1961,Erb / Father David Bauer
43.370595,-80.313938,1610,Dundas / Roxboro
43.372242,-80.316608,1611,Dundas / Jarvis
43.381787,-80.304962,1363,Glamis / Carter
43.414648,-80.503563,2873,Williamsburg / Dinison
43.416247,-80.505322,2872,Williamsburg / Pinedale
43.418562,-80.507933,2871,Williamsburg / Ottawa
43.419653,-80.506583,2870,Ottawa / Howe
43.415867,-80.496163,2877,Dunsmere / Colebrook
43.414675,-80.498168,2876,Dunsmere / Radcliffe
43.41426,-80.499869,2875,Dunsmere / Bosworth
43.41327,-80.502035,2874,Williamsburg / Dinison
43.414867,-80.492465,2879,Laurentian / Briar Knoll
43.416309,-80.493656,2878,Dunsmere / Laurentian
43.440595,-80.498447,3355,Queens / Highland
43.439347,-80.499678,3354,Queens / Spadina
43.438092,-80.510585,3357,Highland / Lawrence
43.439443,-80.508153,3356,Highland / Belmont
43.43633,-80.503788,3351,Queens / Belmont
43.435197,-80.505828,3350,Queens / Community Trail
43.437675,-80.500898,3353,Queens / St Marys Hospital
43.437062,-80.502088,3352,Queens / South
43.426763,-80.529348,3359,Queens / Westheights
43.43639,-80.513563,3358,Highland / Westmount
43.5091,-80.5173,3781,Chesapeake / Brigantine
43.4126,-80.3751,2312_merged_999101,Cherry Blossom / Fountain
43.414458,-80.479017,1768,Forest Glen Terminal
43.414385,-80.478892,1769,Forest Glen Terminal
43.382662,-80.309812,1361,Elgin / Regal
43.413472,-80.442312,1762,Wilson /Kuntz Electroplating
43.415405,-80.44227,1763,Wilson / Goodrich
43.409265,-80.441278,1760,Wabanaki / Wilson
43.410893,-80.441718,1761,Wilson / Wabanaki
43.414117,-80.478895,1766,Forest Glen Terminal
43.414263,-80.478952,1767,Forest Glen Terminal
43.420792,-80.442552,1764,Wilson / Fairway
43.41392,-80.478842,1765,Forest Glen Terminal
43.493252,-80.564747,1142,Highpoint / Cornerbrook
43.491195,-80.564522,1143,Highpoint / Wintergreen
43.49483,-80.559548,1140,Northlake / Green Meadow
43.493962,-80.562523,1141,Northlake / Pine Island
43.484945,-80.559987,1146,Highpoint / Toll Gate
43.487193,-80.556668,1147,Toll Gate / Glen Forrest
43.488437,-80.563307,1144,Highpoint / Rolling Hills
43.48682,-80.563315,1145,Highpoint / Dogwood
43.486143,-80.553573,1148,Glen Forrest / Teakwood
43.48567,-80.55156,1149,Cedarbrae / Glen Forrest
43.41026,-80.510513,2966,Wilderness / Activa
43.498,-80.4944,3787,Dansbury / Forestlawn
43.403633,-80.305995,1546,Franklin / Turnbull
43.405675,-80.306625,1547,Franklin / Sheldon
43.39893,-80.304452,1544,Franklin / Bishop
43.40122,-80.305217,1545,Franklin / Raglin
43.392358,-80.302303,1542,Franklin / Saginaw
43.396343,-80.303648,1543,Franklin / Lindsay
43.381108,-80.29918,1540,Franklin / Avenue
43.385247,-80.300802,1541,Franklin / Robson
43.407877,-80.307348,1548,Franklin / Stafford
43.410413,-80.30808,1549,Franklin / Pinebush
43.4981,-80.5036,3784,Bridge / Lexington
43.399795,-80.473807,1784,Trillium / Mcbrine
43.400977,-80.468495,1785,Trillium / Strasburg
43.402248,-80.463315,1787,Trillium / Adam Ferrie
43.391406,-80.319366,1388,Cambridge Centre Terminal
43.39136,-80.319659,1389,Cambridge Centre Terminal
43.383328,-80.32022,1384,Hespeler / Munch
43.391227,-80.319608,1385,Cambridge Centre Terminal
43.391255,-80.31942,1386,Cambridge Centre Terminal
43.391296,-80.319152,1387,Cambridge Centre Terminal
43.388972,-80.311752,1380,Elgin / Glenbrook
43.386723,-80.313593,1381,Elgin / Sekura
43.384022,-80.313643,1382,Munch / Kovac
43.383192,-80.317802,1383,Munch / Sekura
43.5773,-80.5632,3827,Arthur / Listowel
43.5827,-80.5624,3826,Arthur / South Parkwood
43.5845,-80.5623,3825,Arthur / Whippoorwill
43.5894,-80.5615,3824,Arthur / Howard
43.5923,-80.5634,3823,First / Snyder
43.5934,-80.5642,3822,Snyder / Second
43.5952453,-80.56395574,3821,Snyder / Brubacher
43.5969,-80.5637,3820,Snyder / South
43.5406,-80.5534,3829,King / Front
43.5441,-80.5491,3828,Sawmill / Parkside
43.455053,-80.519694,2768,Union / Severn
43.419163,-80.326232,1276_merged_999116,Holiday Inn Terminal
43.44357,-80.512032,2762,Belmont / Victoria
43.478062,-80.484493,1945,Lancaster / Lang
43.383328,-80.29228,1369,Burnett / Buchanan
43.461177,-80.46435,1077,Frederick / Lois
43.5076,-80.5266,3759,Frobisher / Mcmurray
